category,time
NO,0
NO,1.0
NO,2.0
NO,3.0
NO,4.0
NO,5.0
NO,6.0
NO,7.0
NO,8.0
NO,9.0
NO,10.0
NO,11.0
NO,12.0
NO,13.0
NO,14.0
insects,15.0
insects,16.0
insects,17.0
insects,18.0
insects,19.0
insects,20.0
insects,21.0
insects,22.0
crickets,23.0
NO,24.0
insects,25.0
crickets,26.0
NO,27.0
NO,28.0
NO,29.0
crickets,30.0
crickets,31.0
insects,32.0
insects,33.0
insects,34.0
crickets,35.0
NO,36.0
insects,37.0
insects,38.0
crickets,39.0
crickets,40.0
crickets,41.0
crickets,42.0
crickets,43.0
crickets,44.0
crickets,45.0
crickets,46.0
crickets,47.0
crickets,48.0
crickets,49.0
crickets,50.0
crickets,51.0
insects,52.0
insects,53.0
insects,54.0
insects,55.0
insects,56.0
insects,57.0
insects,58.0
NO,59.0
NO,60.0
